,a,b,c,d,e
0,"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome White - 1 year Warranty","13,299",https://m.media-amazon.com/images/I/71b60-HHxjL._AC_UL320_.jpg,80,3.9
1,"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome Lime","13,299",https://m.media-amazon.com/images/I/51BPWpN+dxL._AC_UL320_.jpg,75,4.0
2,"130-2017 Mobile Phone, 8MB, Dual SIM, 2GB, Black1",655,https://m.media-amazon.com/images/I/61U0wVWj6oL._AC_UL320_.jpg,2,5.0
3,"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 256GB, Awesome Graphite - 1 year Warranty","15,950",https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_UL320_.jpg,138,3.9
4,"Samsung Galaxy A54 Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome Graphite - 1 year Warranty","13,299",https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_UL320_.jpg,121,4.0
5,"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome White - 1 year Warranty","13,299",https://m.media-amazon.com/images/I/71b60-HHxjL._AC_UL320_.jpg,80,3.9
6,"Nokia G21 4gb ram, 128gb memory, finger print sensor - blue","3,999",https://m.media-amazon.com/images/I/71AQ3qEZ-VL._AC_UL320_.jpg,179,3.5
7,"Samsung Galaxy A54 - Dual SIM Mobile Phone Android, 8GB RAM, 128GB, 5G, Awesome Lime","13,299",https://m.media-amazon.com/images/I/51BPWpN+dxL._AC_UL320_.jpg,75,4.0
8,realme C53 Dual SIM 6GB RAM 128GB Mighty Black 4G LTE,"6,390",https://m.media-amazon.com/images/I/71TULGodSqL._AC_UL320_.jpg,62,4.4
9,"Redmi 12 Hybrid Dual SIM, 8GB RAM, 256GB ROM - Midnight Black","8,042",https://m.media-amazon.com/images/I/51QBe2mJv8L._AC_UL320_.jpg,34,4.3
10,"Samsung Galaxy A04e Dual SIM Smartphone - 3GB RAM, 64GB Storage, LTE, Black - 1 year Warranty","4,740",https://m.media-amazon.com/images/I/81A9t-ea+XL._AC_UL320_.jpg,44,4.0
11,"Samsung Galaxy M34, Dual SIM, 8GB RAM, 128GB Storage, 5G, Blue - 1 year Warranty","9,999",https://m.media-amazon.com/images/I/61Wd5oYhOEL._AC_UL320_.jpg,9,4.3
12,"Samsung Galaxy A24 4G Android Smartphone, Dual SIM, 6GB RAM, 128GB Storage, Black","7,899",https://m.media-amazon.com/images/I/71Qw85xhy+L._AC_UL320_.jpg,51,4.3
13,"Xiaomi Redmi 10 Dual SIM Mobile- 6.53 Inch FHD , 64GB, 4GB RAM, 4G LTE - Carbon Gray","4,999",https://m.media-amazon.com/images/I/61XD99l0reL._AC_UL320_.jpg,"1,072",4.3
14,"Xiaomi Redmi Note 12 Dual SIM, 4GB RAM, 128GB ROM, 4G LTE, Onyx Gray","7,300",https://m.media-amazon.com/images/I/61p79A67kPL._AC_UL320_.jpg,"6,933",4.6
15,"Realme 11 Dual-SIM 256GB ROM + 8GB RAM 5G, Glory Black","9,999",https://m.media-amazon.com/images/I/71VVj2qIIgL._AC_UL320_.jpg,17,3.7
16,"Samsung galaxy m33, dual sim, 8gb ram, 128gb storage, 5g, blue - 1 year Warranty","8,999",https://m.media-amazon.com/images/I/719Zb5jJA9L._AC_UL320_.jpg,171,4.0
17,"Samsung Galaxy A04e Dual SIM Smartphone - 3GB RAM, 32GB Storage, LTE, Light Blue - 1 year Warranty","3,930",https://m.media-amazon.com/images/I/81qbcjMUVsL._AC_UL320_.jpg,28,4.1
18,"Xiaomi Redmi 12 (Midnight Black 8GB RAM, 128 Storage) - MediaTek G88 Powerful Processor |50MP High-Resolution main camera | 90 Hz FHD+ AdaptiveSync display | 5000mAh(Typ) High-Capacity battery","7,569",https://m.media-amazon.com/images/I/61sBah54IFL._AC_UL320_.jpg,74,4.2
19,"Redmi Note 12 Hybrid Dual SIM, 8GB RAM, 256GB ROM - Mint Green","8,590",https://m.media-amazon.com/images/I/613+KTndA3L._AC_UL320_.jpg,6,4.8
20,"Samsung Galaxy S23 Ultra, 12GB, Phantom Black, Mobile Phone, Dual SIM, Android Smartphone, 1 Year Manufacturer Warranty","47,400",https://m.media-amazon.com/images/I/71q+njLKksL._AC_UL320_.jpg,421,4.4
21,"Samsung Galaxy M34, Dual SIM, 6GB RAM, 128GB Storage, 5G, Dark Blue - 1 year Warranty","9,090",https://m.media-amazon.com/images/I/81yTZXkTp3L._AC_UL320_.jpg,8,4.6
22,"Nokia c1 2nd edition android smartphone, 1gb ram, 16 gb memory, 5.45 hd+, purple","1,730",https://m.media-amazon.com/images/I/71R7EImSi+L._AC_UL320_.jpg,129,2.9
23,"Xiaomi Redmi A2+ Dual SIM Smartphone, 2GB RAM, 32GB ROM - Black","3,505",https://m.media-amazon.com/images/I/61uJ5idrJIL._AC_UL320_.jpg,7,4.2
24,"Redmi Note 12 Dual SIM, 6GB RAM, 128GB ROM, 4G LTE - Onyx Gray","7,876",https://m.media-amazon.com/images/I/61FQ61igtVL._AC_UL320_.jpg,"8,966",4.7
